gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc,id
SCYL1,0.0042901,0.012411,0.598119,442,0.82964,4,HGLibB_43031;HGLibB_43032;HGLibA_43086;HGLibB_43033;,1.324;1.1196;1.2288;0.53967;,57410
MADD,0.0042966,0.012411,0.598119,443,0.8038,5,HGLibA_27857;HGLibA_27858;HGLibB_27817;HGLibB_27816;HGLibA_27856;,0.97965;1.4146;0.8808;0.7268;0.62385;,8567
UTY,0.0044069,0.012517,0.598119,448,0.83931,4,HGLibA_53470;HGLibB_53404;HGLibB_53403;HGLibA_53469;,1.5569;1.5076;1.3302;0.34843;,7404
PSMA3,0.0044386,0.012624,0.598119,452,0.94593,4,HGLibB_39026;HGLibB_39028;HGLibB_39027;HGLibA_39076;,1.1204;0.77146;1.4677;1.622;,5684
C6orf99,0.0045868,0.012734,0.598119,459,0.72612,5,HGLibB_06510;HGLibB_06512;HGLibA_06514;HGLibA_06515;HGLibA_06516;,1.0446;1.0499;1.2604;0.40765;0.17227;,100130967
SFXN3,0.0045882,0.012734,0.598119,460,1.2181,5,HGLibB_43734;HGLibA_43787;HGLibA_43788;HGLibB_43733;HGLibB_43735;,2.4498;1.5447;3.894;0.89146;0.13465;,81855
DIAPH2,0.0046399,0.01285,0.598119,466,1.0865,5,HGLibA_13219;HGLibB_13201;HGLibB_13203;HGLibA_13221;HGLibB_13202;,1.3397;1.1264;1.0467;1.1678;0.33918;,1730
RHOBTB3,0.0046779,0.012851,0.598119,468,0.97467,4,HGLibB_41128;HGLibB_41126;HGLibA_41179;HGLibA_41177;,1.4289;1.0277;1.5206;0.92166;,22836
hsa-mir-7978,0.016133,0.012874,0.598119,1280,2.1871,1,HGLibA_64040;,2.1871;,102465859
KRTAP10-11,0.0047388,0.013366,0.607,472,0.95671,5,HGLibB_25561;HGLibB_25560;HGLibA_25598;HGLibA_25597;HGLibA_25596;,3.2101;0.90504;1.8783;1.0084;0.3612;,386678
RANGAP1,0.0047968,0.013422,0.607,475,0.97324,4,HGLibB_40163;HGLibB_40165;HGLibA_40214;HGLibA_40216;,1.0779;1.3623;0.86859;2.6974;,5905
ABHD6,0.0048177,0.013698,0.607,477,1.1346,6,HGLibA_00284;HGLibB_00285;HGLibB_00283;HGLibA_00283;HGLibA_00285;HGLibB_00284;,2.2871;1.6288;0.8346;1.4345;0.48586;0.20125;,57406
TCF7L1,0.0048325,0.013698,0.607,479,0.80855,5,HGLibB_48734;HGLibA_48794;HGLibB_48735;HGLibA_48793;HGLibA_48795;,1.1885;2.6191;0.72243;0.89468;0.2063;,83439
PPWD1,0.0048664,0.013767,0.607,483,1.0517,5,HGLibB_38193;HGLibA_38242;HGLibA_38243;HGLibA_38241;HGLibB_38194;,2.1205;1.1224;1.2482;0.60567;0.98098;,23398
GSTA4,0.0048692,0.013767,0.607,484,0.71669,5,HGLibB_20432;HGLibA_20460;HGLibB_20433;HGLibA_20461;HGLibA_20459;,0.77185;1.358;0.66152;1.0837;0.34981;,2941
PHF16,0.0048713,0.013767,0.607,485,0.71268,4,HGLibB_36303;HGLibB_36305;HGLibA_36350;HGLibA_36352;,1.2753;2.043;0.94249;0.48288;,9767
OR5AC2,0.0049389,0.013819,0.607,492,-0.71755,2,HGLibA_34236;HGLibB_34191;,2.7346;0.46785;,81050
hsa-mir-1972-2,0.017674,0.013869,0.607,1383,1.48,1,HGLibA_58114;,1.48;,100422922
ZNF559,0.0049522,0.013877,0.607,495,0.99572,6,HGLibA_56237;HGLibA_56236;HGLibB_56168;HGLibA_56235;HGLibB_56170;HGLibB_56169;,0.8359;2.1949;1.1555;1.5499;0.2818;0.042228;,84527
C14orf180,0.0049868,0.013878,0.607,497,0.81574,4,HGLibA_05347;HGLibA_05349;HGLibA_05348;HGLibB_05345;,3.0289;2.4084;1.4539;0.17762;,400258
TOPBP1,0.0050122,0.013988,0.607,498,0.8001,5,HGLibA_51010;HGLibB_50947;HGLibB_50945;HGLibB_50946;HGLibA_51009;,1.6827;1.189;1.349;0.41121;0.17328;,11073
FANCI,0.0050989,0.014047,0.607126,502,0.8953,5,HGLibA_16853;HGLibB_16832;HGLibB_16831;HGLibA_16855;HGLibA_16854;,1.2637;1.5419;0.52694;1.7868;0.11094;,55215
USH1C,0.0051936,0.014281,0.609973,508,0.81095,4,HGLibA_53174;HGLibB_53108;HGLibA_53173;HGLibA_53172;,0.72901;0.89289;1.6737;0.9823;,10083
hsa-mir-376c,0.0060548,0.014382,0.613054,567,1.445,2,HGLibA_59416;HGLibA_59418;,3.9819;1.445;,Ê442913
LRFN1,0.0052221,0.014643,0.618898,510,0.91316,6,HGLibB_27112;HGLibA_27151;HGLibA_27152;HGLibB_27111;HGLibB_27113;HGLibA_27153;,1.8226;1.4925;1.1166;0.70968;0.43802;0.21162;,57622
MYOM1,0.0052514,0.014722,0.618898,514,0.7171,6,HGLibB_30848;HGLibA_30889;HGLibA_30888;HGLibA_30890;HGLibB_30846;HGLibB_30847;,1.516;1.1529;0.78177;0.65243;0.17293;0.12829;,8736
SPATA5L1,0.0052815,0.014832,0.618898,516,0.8354,5,HGLibA_46519;HGLibB_46462;HGLibB_46463;HGLibA_46518;HGLibA_46520;,1.4822;1.3877;0.8878;0.78301;0.59359;,79029
EPM2A,0.0052906,0.014832,0.618898,518,0.81203,4,HGLibA_15335;HGLibB_15312;HGLibA_15336;HGLibB_15314;,1.3296;1.1801;1.4943;0.44395;,7957
RWDD1,0.0053625,0.014833,0.618898,524,1.1216,5,HGLibB_42427;HGLibB_42425;HGLibB_42426;HGLibA_42480;HGLibA_42479;,1.5021;1.2476;1.5194;0.99551;0.12818;,51389
RBKS,0.0055188,0.015223,0.622749,529,0.78538,6,HGLibB_40412;HGLibA_40463;HGLibA_40464;HGLibB_40414;HGLibA_40465;HGLibB_40413;,3.2267;0.98207;0.45609;1.0424;0.5887;0.086739;,64080
TARSL2,0.0055957,0.01535,0.622749,532,0.78974,6,HGLibB_48292;HGLibA_48350;HGLibB_48291;HGLibA_48351;HGLibA_48352;HGLibB_48293;,1.9489;1.1685;0.53662;1.0429;0.52515;0.14463;,123283
TPTE2,0.0056729,0.015556,0.622749,535,0.79231,5,HGLibB_51152;HGLibA_51215;HGLibA_51217;HGLibB_51154;HGLibB_51153;,1.0359;0.77907;0.96819;0.80555;0.12742;,93492
KLHL9,0.005788,0.015557,0.622749,548,0.77063,4,HGLibB_25193;HGLibA_25228;HGLibB_25192;HGLibA_25229;,1.1046;0.91512;0.82414;0.71711;,55958
POLR3H,0.0058537,0.015821,0.629876,552,0.80949,5,HGLibB_37583;HGLibB_37585;HGLibA_37632;HGLibA_37634;HGLibA_37633;,3.7541;1.1721;0.95149;0.66749;0.2742;,171568
PLXNA4,0.0058768,0.015822,0.629876,553,0.7848,5,HGLibA_37268;HGLibA_37266;HGLibA_37267;HGLibB_37219;HGLibB_37218;,0.8062;1.1156;0.70646;1.1091;0.76341;,91584
hsa-mir-197,0.0045959,0.016098,0.632635,461,1.9243,3,HGLibA_58104;HGLibA_58106;HGLibA_58103;,2.1855;3.8756;1.6631;,406974
hsa-mir-3614,0.0045978,0.016098,0.632635,462,0.79303,4,HGLibA_59084;HGLibA_59087;HGLibA_59086;HGLibA_59085;,3.9658;1.0723;0.51373;0.2418;,100500827
hsa-mir-6873,0.0047697,0.016228,0.632635,473,1.3053,4,HGLibA_63675;HGLibA_63678;HGLibA_63676;HGLibA_63677;,0.67229;4.2328;1.9383;0.18633;,102466754
PCDHA13,0.0082482,0.016285,0.632635,726,1.1778,2,HGLibA_35437;HGLibB_35388;,2.1299;0.22562;,56136
PAXBP1,0.0060238,0.016415,0.632635,564,1.123,5,HGLibA_35321;HGLibA_35322;HGLibA_35323;HGLibB_35274;HGLibB_35276;,1.6705;2.0755;2.096;0.19699;0.5756;,94104
RABL2A,0.0060399,0.016416,0.632635,566,0.84915,5,HGLibB_39977;HGLibB_39975;HGLibA_40027;HGLibA_40026;HGLibA_40028;,0.94799;1.3665;0.7953;0.903;0.067966;,11159
hsa-mir-100,0.0052463,0.017292,0.662885,512,0.89504,4,HGLibA_57148;HGLibA_57150;HGLibA_57151;HGLibA_57149;,3.2516;1.6859;0.10421;0.025369;,406892
hsa-mir-4273,0.0052491,0.017292,0.662885,513,0.98251,3,HGLibA_59795;HGLibA_59797;HGLibA_59796;,1.027;0.99312;0.97191;,100422955
CNTNAP3B,0.0053116,0.017366,0.663375,519,1.0786,4,HGLibA_10429;HGLibA_10427;HGLibB_10418;HGLibA_10428;,1.3612;4.2186;0.79592;0.3382;,728577
hsa-mir-548as,0.005346,0.017366,0.663375,522,1.1182,4,HGLibA_61921;HGLibA_61919;HGLibA_61922;HGLibA_61920;,1.2666;1.3728;0.96976;0.19055;,100847092
hsa-mir-34b,0.0054859,0.017598,0.671031,527,1.3272,4,HGLibA_59039;HGLibA_59038;HGLibA_59041;HGLibA_59040;,2.2164;1.654;0.88223;1.0005;,407041
hsa-mir-4771-2,0.023594,0.017877,0.680502,1750,0.90598,1,HGLibA_61183;,0.90598;,100616165
hsa-mir-5586,0.0059113,0.01852,0.700081,556,1.2014,4,HGLibA_62187;HGLibA_62185;HGLibA_62184;HGLibA_62186;,1.3138;1.089;2.9047;0.14924;,100847088
hsa-mir-3188,0.0062109,0.018935,0.714481,575,1.3711,4,HGLibA_58849;HGLibA_58851;HGLibA_58850;HGLibA_58848;,2.0052;1.4982;1.244;0.02089;,100422833
DEFB104B,0.029657,0.019872,0.747233,2117,0.96486,1,HGLibB_12809;,0.96486;,503618
hsa-mir-5089,0.0066764,0.02006,0.753015,605,0.86059,3,HGLibA_61502;HGLibA_61501;HGLibA_61504;,0.88276;1.2422;0.83842;,100847067
hsa-mir-3115,0.0067574,0.020146,0.754946,612,1.0422,3,HGLibA_58499;HGLibA_58501;HGLibA_58498;,0.85262;1.2318;1.5818;,100422866
hsa-mir-4499,0.0068183,0.020222,0.756478,619,1.4372,4,HGLibA_60411;HGLibA_60413;HGLibA_60412;HGLibA_60414;,2.0898;1.7596;0.71002;1.1147;,
hsa-mir-324,0.0069246,0.020394,0.761601,627,0.84898,4,HGLibA_58965;HGLibA_58963;HGLibA_58962;HGLibA_58964;,1.0266;0.95715;0.74081;0.53214;,442898
hsa-mir-4457,0.0070713,0.020792,0.775127,635,0.97846,4,HGLibA_60235;HGLibA_60236;HGLibA_60233;HGLibA_60234;,1.5602;1.1074;0.43115;0.84957;,
AMPH,0.0061603,0.022004,0.806517,572,0.85041,5,HGLibB_01829;HGLibB_01830;HGLibB_01831;HGLibA_01833;HGLibA_01831;,0.78423;1.2207;1.4076;0.9166;0.53456;,273
DUS2L,0.0081457,0.02213,0.806517,718,0.8421,2,HGLibA_14118;HGLibA_14119;,1.0601;0.8421;,54920
MAGED2,0.0064485,0.022423,0.808152,588,0.81803,5,HGLibA_27972;HGLibB_27931;HGLibA_27970;HGLibA_27971;HGLibB_27930;,1.3902;0.73263;1.4774;0.90343;0.34361;,10916
PTCD1,0.0090634,0.023465,0.810524,791,1.1026,3,HGLibA_39258;HGLibB_39210;HGLibA_39259;,1.1026;1.0591;1.3273;,26024
hsa-mir-1296,0.0085946,0.023768,0.810524,749,0.73842,4,HGLibA_57665;HGLibA_57664;HGLibA_57663;HGLibA_57666;,2.9074;0.45958;1.0173;0.037376;,100302150
hsa-mir-564,0.008632,0.023769,0.810524,752,0.99616,3,HGLibA_62218;HGLibA_62219;HGLibA_62221;,1.3002;1.0282;0.96411;,693149
SYNJ2BP-COX16,0.033208,0.024007,0.810524,2341,0.82904,1,HGLibB_47954;,0.82904;,100529257
CAPN8,0.0058055,0.024126,0.810524,550,0.71045,4,HGLibB_07173;HGLibB_07172;HGLibA_07179;HGLibA_07177;,0.83223;0.71045;1.5308;0.23671;,388743
hsa-mir-3133,0.0094151,0.024181,0.810524,817,0.83573,3,HGLibA_58586;HGLibA_58587;HGLibA_58588;,0.72108;1.1855;0.83573;,
CHRNA7,0.0096479,0.025313,0.810524,835,0.93809,4,HGLibA_09584;HGLibB_09575;HGLibA_09583;HGLibA_09582;,0.5258;1.3504;0.52399;1.5503;,1139
hsa-mir-1181,0.0097718,0.025505,0.810524,846,1.1993,4,HGLibA_57218;HGLibA_57216;HGLibA_57217;HGLibA_57219;,2.3347;1.1598;1.2387;0.045714;,100302213
LOC284385,0.010799,0.02625,0.810524,919,0.88838,2,HGLibA_26915;HGLibB_26875;,1.0366;0.88838;,
OSM,0.0066084,0.028015,0.810524,598,0.77063,5,HGLibB_34648;HGLibB_34647;HGLibA_34693;HGLibA_34692;HGLibA_34694;,1.6252;1.0701;1.0605;0.48077;0.091594;,5008
MAGEB10,0.0066555,0.028205,0.810524,600,0.7277,5,HGLibA_27931;HGLibB_27892;HGLibA_27932;HGLibA_27933;HGLibB_27891;,2.4637;0.80768;0.64938;0.80603;0.13712;,139422
APITD1-CORT,0.016393,0.028263,0.810524,1303,0.9913,2,HGLibA_02427;HGLibB_02425;,1.4809;0.50167;,100526739
WDR43,0.0067205,0.028329,0.810524,610,0.88008,4,HGLibB_54025;HGLibB_54026;HGLibA_54090;HGLibA_54092;,1.6956;0.80696;0.9532;1.4338;,23160
RND3,0.0067389,0.028329,0.810524,611,0.95955,5,HGLibB_41400;HGLibA_41450;HGLibB_41398;HGLibA_41451;HGLibA_41452;,2.3274;0.9442;1.8849;0.97489;0.16239;,390
FNDC3B,0.0067965,0.028446,0.810524,615,0.88797,6,HGLibA_17751;HGLibA_17749;HGLibA_17750;HGLibB_17726;HGLibB_17727;HGLibB_17728;,1.9831;1.0263;0.74964;1.1498;0.24132;0.097403;,64778
TOR1AIP1,0.0068176,0.028446,0.810524,618,0.90302,6,HGLibB_50954;HGLibB_50955;HGLibA_51017;HGLibA_51019;HGLibB_50956;HGLibA_51018;,0.46615;1.3399;1.5219;1.6033;0.23222;0.32186;,26092
MORN4,0.006881,0.028446,0.810524,622,0.70209,5,HGLibB_29635;HGLibA_29675;HGLibB_29633;HGLibA_29674;HGLibA_29676;,0.94747;1.2084;1.4893;0.45671;0.064539;,118812
KCTD21,0.006998,0.028607,0.810524,631,0.72941,4,HGLibA_24450;HGLibB_24416;HGLibB_24417;HGLibA_24449;,2.0202;1.255;0.66408;0.79475;,283219
LOC100131094,0.0071263,0.028973,0.810524,639,0.78062,6,HGLibA_26802;HGLibB_26763;HGLibB_26762;HGLibA_26801;HGLibB_26761;HGLibA_26800;,0.97109;0.89638;0.66487;0.91475;0.23299;0.12587;,
PLSCR1,0.0071616,0.028974,0.810524,642,0.73563,5,HGLibA_37230;HGLibA_37231;HGLibB_37182;HGLibB_37181;HGLibA_37232;,1.0126;1.1195;0.37616;0.62449;0.84676;,5359
TBL3,0.0071741,0.028974,0.810524,643,0.85281,4,HGLibB_48561;HGLibB_48562;HGLibA_48621;HGLibA_48620;,0.9961;0.74541;1.5643;0.9602;,10607
TMBIM1,0.007208,0.029243,0.810524,649,0.85042,5,HGLibB_49679;HGLibB_49678;HGLibA_49738;HGLibB_49680;HGLibA_49739;,1.6568;0.88176;0.9009;0.46848;0.81907;,64114
ABCB5,0.0072101,0.029243,0.810524,650,0.73826,5,HGLibB_00142;HGLibB_00144;HGLibA_00144;HGLibA_00142;HGLibB_00143;,0.73732;2.1036;0.75735;0.73919;0.23815;,340273
OXR1,0.0072422,0.029244,0.810524,653,0.72051,5,HGLibB_34785;HGLibB_34784;HGLibA_34831;HGLibB_34786;HGLibA_34832;,0.96598;0.75992;0.88235;0.54123;0.68111;,3061
USP9Y,0.0072536,0.029244,0.810524,655,0.85226,5,HGLibB_53354;HGLibA_53420;HGLibA_53418;HGLibB_53353;HGLibB_53352;,1.038;1.0245;1.5389;0.52391;0.67999;,8287
hsa-mir-942,0.010055,0.0295,0.810524,871,0.95713,3,HGLibA_64353;HGLibA_64356;HGLibA_64354;,1.5288;1.8476;0.38549;,100126331
NME1,0.010519,0.030248,0.810524,898,0.70932,3,HGLibB_32107;HGLibA_32152;HGLibA_32150;,1.1187;0.73544;0.68319;,4830
LECT2,0.0076127,0.030269,0.810524,683,0.72384,4,HGLibA_26267;HGLibB_26232;HGLibA_26269;HGLibB_26230;,3.5185;0.80172;1.1918;0.64596;,3950
IPO7,0.0077004,0.030269,0.810524,687,0.77244,5,HGLibB_23438;HGLibB_23440;HGLibA_23471;HGLibB_23439;HGLibA_23473;,0.9298;0.96402;0.90524;0.63964;0.34392;,10527
MEPE,0.007756,0.030269,0.810524,690,0.70763,5,HGLibA_28903;HGLibA_28905;HGLibB_28862;HGLibA_28904;HGLibB_28864;,2.1461;0.71562;0.66955;1.2199;0.69964;,56955
PAX3,0.0077986,0.030269,0.810524,693,0.88012,5,HGLibA_35300;HGLibB_35255;HGLibB_35254;HGLibA_35301;HGLibA_35302;,1.7471;1.0986;1.1622;0.66165;0.29147;,5077
DVL2,0.0078652,0.030597,0.810524,697,0.79443,4,HGLibB_14190;HGLibA_14211;HGLibB_14188;HGLibA_14210;,1.1171;1.0332;1.6937;0.55561;,1856
STRADA,0.0079394,0.030684,0.810524,702,0.73404,5,HGLibA_47574;HGLibB_47515;HGLibA_47572;HGLibA_47573;HGLibB_47516;,1.9453;2.2135;0.97549;0.49258;0.40337;,92335
ZCCHC2,0.0079597,0.030771,0.810524,703,0.72338,5,HGLibA_55027;HGLibB_54959;HGLibB_54960;HGLibB_54961;HGLibA_55028;,2.2375;1.0686;0.79052;0.65625;0.31382;,54877
CENPE,0.007978,0.030771,0.810524,704,1.1834,5,HGLibB_09043;HGLibA_09051;HGLibB_09044;HGLibB_09045;HGLibA_09052;,2.0517;3.6631;1.0225;1.3443;0.064726;,1062
WDR81,0.0079874,0.030856,0.810524,705,1.061,5,HGLibA_54186;HGLibB_54121;HGLibA_54188;HGLibB_54122;HGLibA_54187;,2.7526;1.2184;0.90349;1.6792;0.28999;,124997
KCNC1,0.0080053,0.031093,0.810524,707,0.80615,6,HGLibB_24128;HGLibA_24161;HGLibA_24163;HGLibB_24127;HGLibB_24129;HGLibA_24162;,1.2129;0.94797;0.85244;0.75986;0.26566;0.19031;,3746
GDAP2,0.0081079,0.031431,0.810524,715,0.73288,5,HGLibA_18845;HGLibA_18846;HGLibA_18844;HGLibB_18819;HGLibB_18821;,0.95402;1.0918;1.9815;0.51175;0.46031;,54834
FANCF,0.008187,0.031432,0.810524,720,0.79427,4,HGLibA_16848;HGLibB_16824;HGLibB_16826;HGLibA_16847;,1.3736;1.0856;1.4507;0.50296;,2188
OR4D11,0.0082332,0.031685,0.810524,723,0.70594,5,HGLibB_33927;HGLibA_33972;HGLibB_33926;HGLibA_33970;HGLibB_33925;,0.70865;0.70323;1.7136;1.3173;0.38695;,219986
RPL12,0.0083486,0.031879,0.810524,733,0.90247,5,HGLibB_41813;HGLibB_41811;HGLibB_41812;HGLibA_41865;HGLibA_41864;,1.1186;1.4026;0.63528;1.8347;0.68633;,6136
PTGER3,0.0083623,0.031879,0.810524,734,0.82302,5,HGLibA_39319;HGLibB_39271;HGLibB_39269;HGLibA_39320;HGLibA_39318;,1.577;1.045;0.81677;0.82927;0.37353;,5733
ZFP91,0.0084589,0.03197,0.810524,743,0.78769,5,HGLibA_55243;HGLibB_55177;HGLibA_55242;HGLibB_55175;HGLibB_55176;,1.5245;0.62217;0.97328;0.9532;0.27699;,80829
hsa-mir-4719,0.040803,0.032106,0.810524,2775,1.193,1,HGLibA_60975;,1.193;,
hsa-mir-516a-2,0.041272,0.032106,0.810524,2794,1.225,1,HGLibA_61611;,1.225;,
RPUSD1,0.0085351,0.032214,0.810524,744,0.90582,5,HGLibB_42154;HGLibA_42207;HGLibB_42153;HGLibB_42152;HGLibA_42206;,2.3825;1.8571;0.81892;0.99271;0.56496;,113000
HSPD1,0.0085517,0.032214,0.810524,746,0.77394,6,HGLibB_22302;HGLibA_22332;HGLibA_22330;HGLibA_22331;HGLibB_22303;HGLibB_22301;,1.7448;1.0504;0.57914;0.40873;0.96873;0.1999;,3329
TNMD,0.008591,0.032215,0.810524,748,0.81228,4,HGLibB_50797;HGLibA_50859;HGLibA_50860;HGLibA_50858;,0.83803;1.3294;0.8032;0.82136;,64102
ARHGAP31,0.0086336,0.032215,0.810524,753,0.81141,5,HGLibA_02756;HGLibB_02755;HGLibA_02755;HGLibB_02754;HGLibA_02757;,1.4052;0.9887;1.3115;0.39347;0.63413;,57514
